1 1, Área Motora,Recién nacido
2,Área Motora,3-4 meses
3,Área Motora,4-5 meses
4,Área Motora,6 meses
5,Área Motora,7-8 meses
6,Área Motora,9 meses
7,Área Motora,10-11 meses
8,Área Motora,12 meses
9,Área Motora,3 años
10,Áreas Académicas Funcionales y de Comunicación.,Atención Visual
11,Áreas Académicas Funcionales y de Comunicación.,Atención Auditiva
12,Áreas Académicas Funcionales y de Comunicación.,Cavidad Orofacial
13,Áreas Académicas Funcionales y de Comunicación.,Esquema Corporal
14,Áreas Académicas Funcionales y de Comunicación.,Lenguaje comprensivo
15,Áreas Académicas Funcionales y de Comunicación.,Comunicación
16,Áreas Académicas Funcionales y de Comunicación.,Imitación
17,Áreas Académicas Funcionales y de Comunicación.,Sigue Instrucciones
18,Áreas Académicas Funcionales y de Comunicación.,Precursor Numérico
19,Área Social,Preoperacional Temprana
20,Habilidades Académicas Funcionales,Sensopercepcion
21,Habilidades Académicas Funcionales,Discriminacion de Formas
22,Habilidades Académicas Funcionales,Nociones temporo-espaciales
23,Habilidades Académicas Funcionales,Lateralidad
24,Habilidades Académicas Funcionales,Memoria Auditiva
25,Habilidades Académicas Funcionales,Memoria Visual
26,Habilidades Académicas Funcionales,Prenumérico
27,Habilidades Académicas Funcionales,Esquema Corporal
28,Habilidades Académicas Funcionales,Escritura
29,Habilidades Académicas Funcionales,Lectura
30,Habilidades Académicas Funcionales,Calculo
31,Habilidades de Comunicación,Comunicación
32,Habilidades Sociales,Preoperacional Tardía
33,Habilidades Sociales,Operaciones Concretas
34,Habilidades Sociales,Operaciones Formales
35,Habilidades Sociales,Operaciones Formales Avanzadas
36,Habilidades de Autocuidado,Comida
37,Habilidades de Autocuidado,Vestido
38,Habilidades de Autocuidado,Higiene
39,Habilidades de Vida en el Hogar,Ropa
40,Habilidades de Vida en el Hogar,Alimento
41,Habilidades de Vida en el Hogar,Higiene
42,Habilidades de Vida en el Hogar,General
43,Habilidades de Autodirección,Autodirección
44,Habilidades de Uso de Recursos de la Comunidad,Uso de Recursos de la Comunidad
45,Habilidades de Ocio y Tiempo Libre,Ocio y Tiempo Libre
46,Habilidades de Trabajo,Trabajo
47,Habilidades de Salud y Seguridad,Salud y Seguridad